TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200601,-6.044,0.0,113.85,47.447,0.0,274.786,0.0,0.063,0.0,97.304,0.0,1.257,0.0,1.309,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.307287,3.0,54.6608,0.0,-9999,-9999,17.4843,0.0,-9999,-9999,0.820174,0.0,-9999,0.643222,0.820174,0.921206,0.0,0.0,0.0,1.78198,1.68536,1.7581,1.78442,0.960353,0.875334,0.964249,1.03963,0.95206,0.95206,0.990389,1.07411,0.790736,0.790736,0.79938,0.802737,-9999,-9999
200602,-3.003,0.0,177.525,75.717,0.0,282.889,0.0,0.272,0.0,96.241,0.0,1.257,0.0,1.366,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.136787,3.0,54.2715,0.0,-9999,-9999,17.0159,0.0,-9999,-9999,0.838102,0.0,-9999,0.662239,0.838102,0.936828,0.0,0.0,0.0,2.16059,2.0396,2.14082,2.1626,1.32109,1.23717,1.3245,1.37529,1.17486,1.17486,1.21593,1.29403,1.11143,1.11143,1.11679,1.12412,-9999,-9999
200603,0.305,0.0,271.782,119.781,0.0,295.352,0.0,0.675,0.0,95.948,0.0,1.787,0.0,1.474,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.344727,3.0,54.3789,0.0,-9999,-9999,17.1836,0.0,-9999,-9999,0.825562,0.0,-9999,0.648692,0.825562,0.928172,0.0,0.0,0.0,2.61113,2.45963,2.60011,2.61226,1.78408,1.68944,1.77683,1.80828,1.44934,1.44934,1.491,1.55251,1.47802,1.47006,1.47802,1.48919,-9999,-9999
200604,7.937,0.0784722,372.133,169.5,0.0736111,315.193,0.0729167,2.344,0.0784722,96.311,0.0,1.668,0.0,1.253,0.0777778,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.267139,3.0,54.039,0.078472,-9999,0.841021,16.8889,0.078472,-9999,0.625875,0.824259,0.0729167,0.0504457,0.663234,0.824259,0.914126,0.0729167,0.0729167,0.0729167,3.69793,3.47053,3.68311,3.69674,2.8721,2.77926,2.80761,2.81734,2.13683,2.13683,2.16857,2.1796,1.91634,1.90644,1.91634,1.92651,-9999,-9999
200605,12.434,1.0,449.254,215.183,1.0,323.782,1.0,4.411,1.0,96.601,0.0,2.544,0.0,1.399,0.999328,0.207173633066,0.975806451613,131.97649416,1.0,400.392140147,0.999327956989,13.1299868516,1.0,31.1709658522,1.0,377.685147849,1.0,376.148,0.962366,12.34,12.089,11.746,11.199,10.64,1.0,1.0,1.0,1.0,1.0,0.307287,3.0,85.2088,0.990591,-9999,0.7105,26.7297,1.0,-9999,0.66694,-2.95952,0.932124,0.0601691,-2.97565,-2.95382,-2.9187,0.931452,0.932124,0.936828,5.18413,5.00087,5.18746,5.19496,8.14337,7.97315,8.1054,8.1405,3.93201,4.04847,4.09549,4.2624,7.37287,7.43083,7.46787,7.55879,-9999,-9999
200606,16.567,1.0,484.38,238.305,0.998611,353.042,1.0,5.696,1.0,96.953,0.0,2.595,0.0,1.117,0.993056,0.173850627265,0.974305555556,151.528872779,0.998611111111,453.532021969,0.997916666667,18.5138156694,1.0,43.8935792014,1.0,396.855625,1.0,370.623,0.961111,15.111,14.671,14.158,13.432,12.698,1.0,1.0,1.0,1.0,1.0,0.267139,3.0,95.0886,0.963194,-9999,0.689987,19.443,1.0,-9999,0.519029,-5.27961,0.934722,0.0528899,-5.3037,-5.259,-5.20404,0.932639,0.934722,0.940972,6.35718,6.35097,6.3566,6.5821,11.6151,11.6036,11.6446,11.8311,6.2312,6.1065,6.20304,6.24807,10.9108,10.847,10.905,10.9255,-9999,-9999
200607,20.526,1.0,467.698,267.442,0.506048,361.926,0.50336,7.262,1.0,97.005,0.0,2.354,0.0,0.988,0.489919,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,387.276,0.436156,19.028,18.607,18.08,17.336,16.481,1.0,1.0,1.0,1.0,1.0,0.149402,3.0,86.0718,0.484543,-9999,0.494442,31.9252,0.50336,-9999,0.36864,-0.643888,0.402554,0.0627371,-0.747144,-0.690412,-0.639031,0.40121,0.407258,0.406586,7.87649,7.86193,7.87649,7.90762,8.51647,8.50175,8.56673,8.63209,7.10571,6.55592,7.12614,7.21283,8.75435,8.5095,8.69139,8.76032,-9999,-9999
200608,14.96,1.0,404.007,156.11,1.0,353.816,1.0,3.107,1.0,96.13,0.0,2.98,0.0,1.392,1.0,0.1987114359,0.800403225806,98.7606035657,0.995967741935,297.158528367,0.997983870968,10.3595101277,1.0,20.0287796074,1.0,389.146505376,1.0,375.123,0.985887,15.242,15.275,15.203,15.079,14.89,1.0,1.0,1.0,1.0,1.0,0.344727,3.0,67.0899,0.993952,-9999,0.486097,15.0932,0.991935,-9999,0.451625,-0.0748788,0.946909,0.0504498,-0.121624,-0.0788734,-0.0649899,0.949597,0.973118,0.951613,5.11758,5.08949,5.12035,5.15337,5.18976,5.14269,5.19462,5.21075,4.12551,4.06028,4.10845,4.21696,4.73827,4.74572,4.77272,4.82136,-9999,-9999
200609,14.985,1.0,312.066,179.176,1.0,334.758,1.0,4.27,1.0,96.767,0.0,0.447,0.0,1.46,1.0,0.19017629652,0.976388888889,100.39261405,0.996527777778,338.33719835,0.997222222222,10.4897327729,1.0,26.115863396,1.0,385.935694444,1.0,374.124,0.936806,13.095,13.129,13.055,12.952,12.87,1.0,1.0,1.0,1.0,1.0,0.267139,3.0,64.9899,0.946528,-9999,0.50546,21.529,1.0,-9999,0.515642,0.169883,0.934028,0.0296681,0.100039,0.163404,0.20293,0.934722,0.934028,0.934028,4.49826,4.54373,4.59544,4.61759,4.33924,4.33924,4.39465,4.50784,4.67031,4.66159,4.68588,4.74302,4.65175,4.65101,4.67246,4.70452,-9999,-9999
200610,9.129,1.0,212.937,99.2,1.0,320.015,1.0,1.82,1.0,96.65,0.0,0.638,0.0,1.039,1.0,0.138707603935,0.956989247312,49.5109087963,0.998655913978,185.798481383,0.998655913978,5.64411136425,1.0,14.8574492937,1.0,354.539583333,1.0,386.333,0.914651,8.627,8.973,9.198,9.514,9.928,1.0,1.0,1.0,1.0,1.0,0.307287,3.0,27.0392,0.984543,-9999,0.412715,12.9764,0.999328,-9999,0.425222,1.40359,0.924731,0.028474,1.35088,1.37058,1.40305,0.924059,0.905242,0.923387,3.78569,3.6566,3.75747,3.81343,2.36063,2.25408,2.35881,2.47612,3.43648,3.37492,3.43348,3.47043,2.40812,2.37381,2.39948,2.41528,-9999,-9999
200611,5.613,1.0,133.323,40.279,1.0,314.263,1.0,0.921,1.0,96.74,0.0,0.926,0.0,1.778,1.0,0.215590982921,0.93125,9.25295734028,1.0,74.9356953528,1.0,3.42721014931,1.0,6.42551972917,1.0,338.864166667,1.0,385.592,0.984722,6.047,6.306,6.53,6.858,7.367,1.0,1.0,1.0,1.0,1.0,0.267139,3.0,14.3165,0.983333,-9999,0.329126,-6.89703,0.999306,-9999,0.434769,1.67999,0.975694,0.0190398,1.6742,1.68311,1.70329,0.971528,0.975694,0.972222,2.10471,2.08724,2.10376,2.12566,0.421602,0.413631,0.417772,0.422366,2.01132,1.88899,1.93986,2.056,0.437542,0.366676,0.379595,0.437571,-9999,-9999
200612,1.534,1.0,97.0257,35.224,0.998656,295.63,1.0,0.472,1.0,97.426,0.0,0.526,0.0,1.259,1.0,0.157191528424,0.880376344086,5.11057206216,0.99126344086,62.2249497365,1.0,2.76301760929,0.838709677419,6.65402647708,1.0,317.734461694,1.0,400.79,0.981183,3.087,3.418,3.788,4.333,5.13,1.0,1.0,1.0,1.0,1.0,0.149402,3.0,7.36867,0.982527,-9999,0.204058,-1.75888,0.997312,-9999,0.286026,0.969235,0.981855,0.0147674,0.949723,0.983036,1.01302,0.965726,0.981855,0.981855,1.18723,1.14684,1.18233,1.2375,0.20292,0.194796,0.202484,0.224409,1.05436,0.999044,1.03031,1.0512,0.183295,0.171331,0.174271,0.181573,-9999,-9999
