TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,20.182,1.0,355.315,242.408,1.0,311.852,0.0,20.464,1.0,95.185,0.0,0.0,1.0,2.949,0.998656,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.715,27.732,26.944,-9999,1.0,0.304435,1.0,-9999,6.89,7.946,4.313,-9999,-9999,-9999,-9999,1.0,1.0,0.305108,-9999,-9999,-9999,-9999,-5.0013,0.15121,5.06751,0.090726,4.0137,0.126546,47.6226,0.090726,37.7193,0.734782,-1.76387,0.0900538,0.0324591,-1.76387,-1.76387,-1.76387,0.0900538,0.0900538,0.0900538,1.72289,1.72289,1.72289,1.72289,3.48676,3.48676,3.48676,3.48676,1.87944,1.87944,1.87944,1.87944,7.1784,7.1784,7.1784,7.1784,-9999,-9999
200502,27.619,1.0,389.638,263.84,1.0,341.007,0.0,33.861,1.0,95.018,0.428571,0.0,0.999256,3.362,1.0,-9999,-9999,58.4394399133,0.963541666667,536.471173109,0.950892857143,152.431548285,0.959821428571,305.378,0.713542,30.691,32.12,31.893,33.468,1.0,0.997768,1.0,0.997768,7.711,6.675,1.897,4.388,4.402,4.948,-9999,1.0,1.0,0.998512,0.998512,0.998512,0.998512,-9999,3.57494,0.997768,5.51218,0.713542,4.36589,0.0908025,70.2784,0.713542,55.6636,0.5052,-2.7387,0.713542,0.0217993,-2.7387,-2.7387,-2.7387,0.713542,0.713542,0.713542,1.69836,1.69836,1.69836,1.69836,4.43706,4.43706,4.43706,4.43706,2.02919,2.02919,2.02919,2.02919,7.21952,7.21952,7.21952,7.21952,-9999,-9999
200503,27.511,1.0,424.108,284.657,0.997984,333.962,0.0,35.298,1.0,95.003,0.0,0.0,1.0,3.26,1.0,-9999,-9999,55.2923216798,0.999327956989,548.851051075,1.0,88.6968319892,1.0,296.212,0.0,32.635,33.336,33.435,34.431,1.0,1.0,1.0,1.0,7.497,6.495,1.704,4.4,4.468,5.0,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,2.00994,1.0,6.39583,0.0,5.06579,0.323129,82.1273,0.0,65.0486,1.70706,-3.22729,0.0,0.115902,-3.22729,-3.22729,-3.22729,0.0,0.0,0.0,1.61346,1.61346,1.61346,1.61346,4.84075,4.84075,4.84075,4.84075,2.0284,2.0284,2.0284,2.0284,7.52928,7.52928,7.52928,7.52928,-9999,-9999
200504,31.165,1.0,443.205,261.936,0.974306,357.702,0.0,43.109,1.0,94.852,0.0,0.0,1.0,3.231,1.0,-9999,-9999,54.8860076389,1.0,545.43881875,1.0,88.2302208333,1.0,289.825,0.0,34.194,36.753,35.52,37.57,1.0,1.0,1.0,1.0,7.302,6.348,1.64,4.393,4.59,5.092,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,3.08402,1.0,7.79922,0.0,5.73152,-9999,79.6263,0.0,58.5161,-9999,-3.09096,0.0,-9999,-3.09096,-3.09096,-3.09096,0.0,0.0,0.0,2.04546,2.04546,2.04546,2.04546,5.13642,5.13642,5.13642,5.13642,2.09572,2.09572,2.09572,2.09572,7.25816,7.25816,7.25816,7.25816,-9999,-9999
200505,30.963,1.0,445.338,265.446,1.0,373.408,0.0,37.821,1.0,94.938,0.0,0.168,1.0,3.277,1.0,-9999,-9999,60.507364711,0.985215053763,520.387490054,0.995967741935,82.8199361559,1.0,275.173,0.0,34.966,36.344,35.703,36.996,1.0,1.0,1.0,1.0,7.166,6.306,2.31,4.4,4.704,5.203,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,1.15367,1.0,10.0829,0.0,7.40973,-9999,74.146,0.0,54.4887,-9999,-2.74173,0.0,-9999,-2.74173,-2.74173,-2.74173,0.0,0.0,0.0,2.23771,2.23771,2.23771,2.23771,4.97943,4.97943,4.97943,4.97943,2.09365,2.09365,2.09365,2.09365,7.37547,7.37547,7.37547,7.37547,-9999,-9999
200506,31.504,1.0,441.783,246.191,1.0,410.445,0.0,30.198,1.0,94.952,0.0,0.497,1.0,4.416,1.0,-9999,-9999,73.3494007831,0.998611111111,517.39095102,0.998611111111,77.5383020833,1.0,347.093,0.0,34.839,36.4,35.34,36.219,1.0,1.0,1.0,1.0,7.251,6.526,3.062,4.383,4.704,5.193,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,2.20368,1.0,78.2729,0.0,57.5215,-9999,46.2435,0.0,33.9837,-9999,-4.35082,0.0,-9999,-4.35082,-4.35082,-4.35082,0.0,0.0,0.0,2.48897,2.48897,2.48897,2.48897,6.83979,6.83979,6.83979,6.83979,2.10433,2.10433,2.10433,2.10433,7.30791,7.30791,7.30791,7.30791,-9999,-9999
200507,28.636,1.0,441.331,241.284,1.0,410.213,0.0,18.686,1.0,95.069,0.0,4.256,1.0,4.115,0.998656,-9999,-9999,84.1449206355,0.990591397849,506.289844698,0.988575268817,80.1818400538,1.0,360.588,0.0,32.84,32.814,32.457,32.744,1.0,1.0,1.0,1.0,7.501,8.786,7.809,4.383,4.643,5.2,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-1.06081,1.0,82.4482,0.0,78.2159,-9999,38.048,0.0,36.0949,-9999,-4.36581,0.0,-9999,-4.36581,-4.36581,-4.36581,0.0,0.0,0.0,2.44935,2.44935,2.44935,2.44935,6.81516,6.81516,6.81516,6.81516,2.05347,2.05347,2.05347,2.05347,7.26486,7.26486,7.26486,7.26486,-9999,-9999
200508,27.326,1.0,440.59,231.943,1.0,408.284,0.0,13.104,1.0,95.01,0.0,3.474,0.999328,2.793,0.998656,-9999,-9999,88.0721023369,0.991935483871,490.166495934,0.995295698925,69.0818313172,1.0,367.329,0.0,30.897,31.565,30.706,30.817,1.0,1.0,1.0,1.0,12.234,11.502,8.209,9.513,7.719,7.582,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-0.0751841,1.0,71.7643,0.0,69.4744,-9999,32.5225,0.0,31.4847,-9999,-3.65976,0.0,-9999,-3.65976,-3.65976,-3.65976,0.0,0.0,0.0,2.52237,2.52237,2.52237,2.52237,6.18214,6.18214,6.18214,6.18214,2.02918,2.02918,2.02918,2.02918,7.07913,7.07913,7.07913,7.07913,-9999,-9999
200509,28.323,1.0,428.783,260.051,1.0,391.603,0.0,17.789,1.0,94.907,0.247917,1.888,1.0,2.36,0.999306,-9999,-9999,109.580335296,0.998611111111,548.038423694,0.994444444444,52.1475569444,1.0,363.632,0.450694,32.009,33.329,32.263,32.422,1.0,1.0,1.0,1.0,8.784,7.883,5.387,6.467,6.896,7.748,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,0.676815,1.0,80.7364,0.451389,79.6653,0.882472,40.1847,0.451389,39.6516,0.68268,-4.4056,0.440972,0.0604387,-4.4056,-4.4056,-4.4056,0.440972,0.440972,0.440972,2.72924,2.72924,2.72924,2.72924,7.13484,7.13484,7.13484,7.13484,1.85538,1.85538,1.85538,1.85538,7.22692,7.22692,7.22692,7.22692,-9999,-9999
200510,29.326,1.0,400.343,265.124,1.0,394.927,0.0,28.792,1.0,94.979,0.0,0.072,1.0,2.556,1.0,-9999,-9999,80.6882900093,0.997311827957,550.21892552,0.997311827957,66.7364764785,1.0,361.456,0.178763,33.748,35.391,34.309,35.291,1.0,1.0,1.0,1.0,8.442,7.548,3.466,4.918,5.098,5.474,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,2.7072,1.0,78.689,0.178763,74.6497,1.07427,48.4467,0.178091,45.9598,0.876198,-4.64025,0.178763,0.0717272,-4.64025,-4.64025,-4.64025,0.178763,0.178763,0.178763,1.95344,1.95344,1.95344,1.95344,6.59369,6.59369,6.59369,6.59369,4.84553,4.84553,4.84553,4.84553,7.57937,7.57937,7.57937,7.57937,-9999,-9999
200511,24.894,1.0,364.462,257.476,1.0,347.771,0.0,26.333,1.0,95.038,0.0,0.0,1.0,2.787,1.0,-9999,-9999,51.556025,1.0,527.882913889,1.0,70.4919256944,1.0,362.438,0.0,31.632,31.732,31.479,32.078,1.0,1.0,1.0,1.0,8.328,7.419,2.721,4.739,4.743,5.165,-9999,1.0,1.0,1.0,1.0,1.0,1.0,-9999,0.366084,1.0,80.8918,0.0,75.9539,-9999,47.1482,0.0,44.2701,-9999,-4.60999,0.0,-9999,-4.60999,-4.60999,-4.60999,0.0,0.0,0.0,1.66158,1.66158,1.66158,1.66158,6.27157,6.27157,6.27157,6.27157,4.66378,4.66378,4.66378,4.66378,7.49031,7.49031,7.49031,7.49031,-9999,-9999
200512,24.779,0.957661,343.698,232.73,0.960349,342.734,0.0,25.443,0.957661,94.996,0.0,0.0,0.938172,2.629,0.935484,-9999,-9999,40.1101888342,0.922043010753,480.115250103,0.922043010753,65.1127990558,0.922043010753,363.89,0.0,30.81,30.48,30.745,30.934,0.957661,0.957661,0.957661,0.957661,8.295,7.149,2.582,4.687,4.702,5.095,-9999,0.957661,0.957661,0.957661,0.957661,0.957661,0.957661,-9999,-0.393467,0.957661,75.3,0.0,65.7018,-9999,45.8847,0.0,40.036,-9999,-4.07994,0.0,-9999,-4.07994,-4.07994,-4.07994,0.0,0.0,0.0,1.6556,1.6556,1.6556,1.6556,5.73555,5.73555,5.73555,5.73555,4.65681,4.65681,4.65681,4.65681,7.08661,7.08661,7.08661,7.08661,-9999,-9999
200601,23.856,1.0,355.315,248.047,1.0,339.805,0.0,25.153,1.0,95.013,0.0,0.0,1.0,2.828,1.0,-9999,-9999,43.4639986559,1.0,503.526575941,1.0,68.3373877688,1.0,365.349,0.0,29.681,30.008,29.876,30.425,1.0,1.0,1.0,1.0,8.156,7.001,2.519,3.507,4.754,4.702,5.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59448,1.0,71.325,0.0,67.2465,-9999,47.0717,0.0,44.3801,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200602,25.575,1.0,389.638,273.416,0.998512,330.758,0.0,30.321,1.0,94.966,0.0,0.115,1.0,2.999,1.0,-9999,-9999,53.9331778274,1.0,557.837273065,1.0,76.1726897321,1.0,365.456,0.0,30.272,31.731,30.823,32.066,1.0,1.0,1.0,1.0,8.007,6.881,2.398,3.38,4.8,4.704,5.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.89506,1.0,71.6408,0.0,75.0919,-9999,46.8137,0.0,49.0689,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200603,27.688,1.0,424.108,277.533,1.0,331.714,0.0,35.054,1.0,94.943,0.0,0.0,1.0,3.235,1.0,-9999,-9999,62.6171235272,0.998655913978,559.877184984,0.996639784946,79.5255678763,1.0,365.437,0.0,32.085,34.725,33.024,35.153,1.0,1.0,1.0,1.0,7.823,6.717,2.277,3.26,4.806,4.784,5.188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.38867,1.0,71.7052,0.0,75.2555,-9999,47.055,0.0,49.3848,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200604,29.264,1.0,443.205,298.807,1.0,337.298,0.0,39.596,1.0,94.887,0.0,0.0,1.0,3.074,1.0,-9999,-9999,70.8473743056,1.0,628.628272222,1.0,88.3233826389,1.0,365.413,0.0,32.998,36.255,34.068,36.694,1.0,1.0,1.0,1.0,7.648,6.602,2.147,3.144,4.8,4.804,5.166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.81035,1.0,71.5542,0.0,79.5432,-9999,46.9857,0.0,52.2316,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200605,32.153,1.0,445.338,264.007,1.0,400.08,0.0,36.034,1.0,94.924,0.0,0.052,1.0,3.358,1.0,-9999,-9999,76.3996196388,0.992607526882,560.681006995,0.997311827957,71.2788501344,1.0,365.349,0.0,35.487,38.762,36.913,39.086,1.0,1.0,1.0,1.0,7.491,6.483,2.283,3.152,4.8,4.811,5.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.83152,1.0,71.325,0.0,77.6724,-9999,47.0717,0.0,51.2608,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200606,31.2,1.0,441.783,262.164,0.997222,408.867,0.0,29.368,1.0,94.934,0.0,0.315,1.0,4.226,0.999306,-9999,-9999,85.7140827038,0.992361111111,567.054613194,1.0,65.5876868056,1.0,365.413,0.0,35.93,37.546,36.826,38.044,1.0,1.0,1.0,1.0,7.4,6.477,2.576,3.334,4.741,4.889,5.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45646,1.0,71.5542,0.0,77.7891,-9999,46.9857,0.0,51.0798,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
200607,28.823,1.0,441.331,242.435,0.998656,411.459,0.0,18.544,1.0,95.022,0.0,4.519,1.0,4.027,0.997984,-9999,-9999,94.8875519897,0.99126344086,524.716518862,0.99126344086,62.7245692204,1.0,365.452,0.0,33.951,33.417,33.815,33.823,1.0,1.0,1.0,1.0,10.05,9.406,5.275,6.335,5.648,4.846,5.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.03303,1.0,71.6324,0.0,76.2484,-9999,46.8304,0.0,49.8481,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
