TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200001,-0.386,1.0,99.4475,26.461,1.0,289.57,0.0,0.546,1.0,96.498,1.0,2.647,1.0,4.274,1.0,-9999,-9999,-5.27689516129,1.0,51.2165456989,1.0,-9999,-9999,-9999,-9999,13.4758803763,1.0,3.28491935484,1.0,-9999,-9999,378.91,0.97043,0.963,2.046,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.307,-9999,-9999,1.0,-9999,-9999,-3.88272,1.0,-0.475032,0.966398,-0.442848,0.289599,-5.97898,0.891801,-5.57388,0.631044,1.17191,0.938172,0.022959,1.13328,1.15888,1.17539,0.943548,0.938844,0.938844,1.24575,1.21675,1.23183,1.24492,0.0783656,0.0672557,0.0781442,0.0873799,1.06146,1.05725,1.07237,1.11568,0.0514422,0.0499602,0.0584028,0.0734724,1.2168,1.0
200002,2.541,1.0,164.548,54.546,1.0,291.363,0.0,1.173,1.0,96.166,1.0,3.863,1.0,4.445,0.991379,0.804986899591,0.53591954023,7.58316810345,1.0,98.8974353448,1.0,-9999,-9999,-9999,-9999,26.8267313218,1.0,5.60056034483,1.0,-9999,-9999,374.835,0.993534,2.056,2.426,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,45.51,-9999,-9999,1.0,-9999,-9999,-1.57537,1.0,4.10381,0.989943,4.48435,0.383365,-7.87895,0.896552,-8.60956,0.688486,1.29996,0.979885,0.0207736,1.29455,1.30061,1.30646,0.98204,0.97773,0.979885,1.40104,1.39688,1.40833,1.41728,0.105299,0.101544,0.106873,0.110581,1.38705,1.19867,1.22571,1.27205,0.159502,0.0940623,0.115861,0.141832,1.38467,1.0
200003,4.08,1.0,262.68,80.116,0.99664,305.695,0.0,1.519,1.0,96.041,1.0,4.888,1.0,3.875,1.0,0.840516558246,0.684811827957,36.7211693548,1.0,144.950577957,1.0,-9999,-9999,-9999,-9999,38.8766061828,1.0,7.46492607527,1.0,-9999,-9999,370.939,0.999328,3.628,3.445,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,45.404,-9999,-9999,1.0,-9999,-9999,0.603831,1.0,13.0267,0.997984,16.3253,0.47028,15.8449,0.999328,19.857,0.751201,1.45636,0.97379,0.0196543,1.46037,1.47211,1.4891,0.953629,0.977823,0.979839,1.6659,1.62265,1.64419,1.6659,0.178452,0.110417,0.180591,0.194668,1.42913,1.4292,1.45874,1.48375,0.0659656,0.0535846,0.0709285,0.0799826,1.66313,1.0
200004,9.569,1.0,366.783,168.578,1.0,302.609,0.0,4.28,1.0,95.326,1.0,1.551,1.0,2.781,1.0,0.582023035849,0.629861111111,80.1904027778,1.0,295.862055556,1.0,-9999,-9999,-9999,-9999,66.8232847222,1.0,15.3996180556,1.0,-9999,-9999,373.657,0.9625,7.049,5.859,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.524,-9999,-9999,1.0,-9999,-9999,4.84781,1.0,30.1657,0.9625,25.9714,0.564684,55.6818,0.959028,47.9398,0.801025,1.41786,0.910417,0.0408801,1.18823,1.47367,1.52776,0.894444,0.899306,0.940972,3.93892,3.74783,3.85549,3.95643,2.31341,2.30169,2.43138,2.761,3.76832,3.60475,3.74132,3.87639,2.31191,2.20925,2.2909,2.44622,2.55848,1.0
200005,13.705,1.0,447.407,233.905,1.0,319.356,0.0,5.998,1.0,96.046,1.0,1.67,1.0,2.837,1.0,0.528772809907,0.827284946237,117.019180108,1.0,409.865759409,1.0,-9999,-9999,-9999,-9999,77.3702352151,1.0,35.2417674731,1.0,-9999,-9999,370.489,1.0,11.113,9.95,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,42.459,-9999,-9999,1.0,-9999,-9999,3.23673,1.0,66.3635,1.0,63.1732,0.715939,52.6691,0.994624,50.1371,0.71161,-4.90696,0.877688,0.0793488,-5.02824,-4.92274,-4.86139,0.807124,0.877016,0.894489,5.04605,5.03058,5.07997,5.30574,9.98355,9.9721,10.0311,10.1346,6.42491,5.03915,5.71396,6.15533,10.0892,9.69072,9.94202,10.2374,3.93205,1.0
200006,15.784,1.0,483.503,243.858,1.0,330.447,0.0,7.295,1.0,96.387,1.0,2.894,1.0,2.833,1.0,0.511151942966,0.817361111111,126.503243056,1.0,430.064631944,1.0,-9999,-9999,-9999,-9999,81.4045416667,1.0,39.9995069444,1.0,-9999,-9999,362.163,0.997917,12.598,11.514,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,41.851,-9999,-9999,1.0,-9999,-9999,3.31945,1.0,74.6735,0.993056,79.0187,0.673429,41.278,0.996528,43.68,0.619583,-8.12293,0.815972,0.0833883,-8.46222,-8.06935,-7.95425,0.765278,0.870833,0.909028,5.86038,4.75347,5.39724,5.85439,12.886,12.7105,13.8826,14.0776,6.74001,5.69879,6.2192,6.74001,13.5379,12.8184,13.0759,13.5742,4.7045,1.0
200007,13.251,1.0,463.888,159.661,1.0,344.07,0.0,2.671,1.0,95.702,0.998656,3.533,0.998656,3.107,0.998656,0.538032439187,0.636424731183,88.2941470773,0.998655913978,281.791216827,0.998655913978,-9999,-9999,-9999,-9999,86.6399449497,0.998655913978,25.1179075154,0.998655913978,-9999,-9999,363.343,0.997984,11.987,11.389,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,41.833,-9999,-9999,1.0,-9999,-9999,1.80776,1.0,51.7314,0.995968,62.2093,0.525275,20.0617,0.99664,24.1251,0.535304,-7.23609,0.97379,0.0726738,-7.2835,-7.21648,-7.13689,0.97379,0.981855,0.981855,4.3808,4.31103,4.36463,4.40027,11.5425,11.4998,11.5556,11.6534,4.16509,3.94851,4.1717,4.4232,11.4511,11.3116,11.4545,11.6505,4.32502,1.0
200008,17.154,1.0,394.758,196.721,1.0,338.886,0.0,5.995,0.999328,96.28,0.888441,2.816,0.997984,2.347,0.889113,0.429247964575,0.657930107527,95.9889847649,0.869623655914,348.526334935,0.997983870968,-9999,-9999,-9999,-9999,72.4743657058,0.997983870968,29.5237687155,0.869623655914,-9999,-9999,362.032,0.999328,14.287,13.315,-9999,-9999,-9999,1.0,0.999328,-9999,-9999,-9999,31.933,-9999,-9999,1.0,-9999,-9999,2.55253,0.999328,69.9243,0.997312,67.3921,0.710047,28.2616,0.997984,27.2382,0.559106,-7.14308,0.677419,0.0946988,-7.28361,-7.16109,-7.09807,0.768145,0.670027,0.682796,5.67906,4.49003,5.42715,5.87571,12.7583,11.7594,12.7048,13.0294,6.41541,5.1306,6.19866,6.67076,12.0961,11.5737,12.0391,12.3927,5.63958,1.0
200009,12.879,1.0,297.77,121.491,1.0,331.817,0.0,2.963,1.0,95.964,0.873611,1.042,0.999306,2.704,0.873611,0.453949108348,0.677083333333,57.3232792789,0.861805555556,214.133735963,0.999305555556,-9999,-9999,-9999,-9999,54.823081117,0.999305555556,17.7235485299,0.861805555556,-9999,-9999,365.552,0.999306,12.006,12.064,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,36.213,-9999,-9999,1.0,-9999,-9999,-0.106184,1.0,32.2847,0.999306,46.6688,0.45759,8.26478,0.999306,11.947,0.621771,-3.90133,0.954167,0.0729476,-3.9244,-3.88127,-3.8361,0.986806,0.980556,0.927778,3.7105,3.71126,3.75878,3.85233,7.66571,7.61284,7.66849,7.7327,4.04851,3.77616,4.13108,4.37134,7.66219,7.64614,7.72631,7.89416,4.37277,1.0
200010,9.749,1.0,196.024,67.279,1.0,318.589,0.0,2.125,1.0,95.845,1.0,1.999,1.0,3.276,1.0,0.650508295339,0.80376344086,13.8015456989,1.0,118.981774194,1.0,-9999,-9999,-9999,-9999,34.1686290323,1.0,8.62346102151,1.0,-9999,-9999,366.675,1.0,9.621,10.262,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,36.904,-9999,-9999,1.0,-9999,-9999,-2.23934,1.0,14.4674,1.0,14.0562,0.418954,-8.79455,1.0,-8.5446,0.748766,1.0375,0.97043,0.0447597,1.04942,1.0758,1.08894,0.962366,0.988575,0.982527,3.29603,3.26159,3.30135,3.36099,2.1826,2.18411,2.23315,2.30341,3.31259,3.04888,3.33959,3.51776,2.31622,2.01309,2.30713,2.39689,3.31072,1.0
200011,5.373,1.0,116.901,35.501,1.0,297.314,0.0,1.494,1.0,95.181,0.998611,1.727,1.0,3.336,1.0,0.728861345966,0.8125,-13.2443819444,1.0,62.2300625,1.0,-9999,-9999,-9999,-9999,19.7398263889,1.0,2.99872222222,1.0,-9999,-9999,368.434,1.0,5.785,7.064,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,43.867,-9999,-9999,1.0,-9999,-9999,-4.29435,1.0,3.47869,1.0,1.73107,0.351161,-21.4644,1.0,-10.6811,0.630764,2.19511,0.986111,0.0267392,2.17052,2.18796,2.19725,0.983333,0.985417,0.9875,2.28588,2.24738,2.27752,2.29369,0.116823,0.0840015,0.0920904,0.107455,1.93794,1.9317,1.99365,2.02596,0.0631884,0.0456057,0.06338,0.0682682,2.12414,1.0
200012,2.041,1.0,82.6136,25.249,1.0,289.757,0.0,1.018,1.0,95.493,0.999328,1.293,0.999328,3.556,0.951613,0.788475682916,0.631720430108,-14.4104080874,0.999327956989,43.1920298559,0.999327956989,-9999,-9999,-9999,-9999,12.6121900023,0.999327956989,3.0343383951,0.999327956989,-9999,-9999,374.426,0.998656,3.348,4.836,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,44.585,-9999,-9999,1.0,-9999,-9999,-5.15431,1.0,-1.8884,0.998656,-0.519317,0.326758,-31.8381,0.998656,-8.75559,0.748111,2.02863,0.997312,0.0308255,1.99013,2.01294,2.03371,0.997312,0.997312,0.997312,2.01312,1.96085,2.00361,2.05511,-0.013389,-0.0246095,-0.00623881,0.0225297,2.00508,2.11596,2.1363,2.17688,0.0649373,0.0751344,0.0879691,0.0987749,1.65061,1.0
200101,-0.126,1.0,99.4475,27.136,0.99328,279.133,0.0,0.752,1.0,95.745,1.0,1.06,1.0,2.611,0.985215,0.659428699315,0.522177419355,-4.1579233871,1.0,52.5116330645,1.0,-9999,-9999,-9999,-9999,14.6594892473,1.0,4.43175403226,1.0,-9999,-9999,374.496,1.0,1.025,2.262,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,45.099,-9999,-9999,1.0,-9999,-9999,-3.88426,1.0,-0.738117,0.995296,-0.0531004,0.304842,-20.8967,0.99664,-1.50332,0.692298,0.848038,0.936156,0.02855,0.84591,0.853751,0.897511,0.963038,0.948253,0.93414,0.666812,0.635111,0.642105,0.696258,-0.218871,-0.219937,-0.196362,-0.172623,1.14111,1.11683,1.19587,1.26941,0.22545,0.195307,0.205156,0.228044,1.47921,1.0
200102,1.67,1.0,163.029,58.385,1.0,289.439,0.0,1.589,1.0,96.002,1.0,2.028,1.0,3.247,0.993304,0.708117739426,0.715029761905,9.07909970238,1.0,111.433058036,1.0,-9999,-9999,-9999,-9999,24.5677901786,1.0,6.65484375,1.0,-9999,-9999,372.003,1.0,1.784,2.467,-9999,-9999,-9999,1.0,1.0,-9999,-9999,-9999,45.883,-9999,-9999,1.0,-9999,-9999,-2.07377,1.0,6.45803,0.999256,5.65637,0.354491,-2.64236,1.0,-2.31435,0.743674,1.38186,0.983631,0.0248657,1.38055,1.40216,1.43345,0.983631,0.990327,0.99256,1.4103,1.36756,1.39659,1.40164,-0.0250949,-0.0435236,-0.0163209,0.00374822,1.71521,1.65908,1.70668,1.77627,0.291085,0.226549,0.276832,0.32108,1.5959,1.0
