TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,9.584,0.0,236.541,144.805,0.58871,271.57,0.0,7.639,0.0,87.371,0.0,1.379,0.0,2.198,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.97414,0.0,20.0026,0.0,23.8567,-9999,40.4138,0.0,48.2008,-9999,-0.289539,0.0,-9999,-0.312704,-0.306011,-0.289539,0.0,0.0,0.0,0.396791,0.406361,0.420277,0.425197,0.747718,0.702937,0.715377,0.741981,0.0187588,0.0187588,0.0295607,0.0403178,0.0981883,0.0961938,0.100412,0.104136,-9999,-9999
200802,11.25,0.00646552,293.143,195.51,0.56681,267.735,0.0,9.701,0.00646552,87.251,0.0,1.005,0.0,2.283,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.12288,0.00646552,20.2038,0.006466,23.358,0.133802,40.4714,0.006466,46.79,0.819055,-0.293173,0.00431034,0.0140438,-0.315968,-0.309178,-0.293173,0.00431034,0.00431034,0.00431034,0.440516,0.440516,0.455287,0.464276,0.785594,0.740648,0.751798,0.779824,0.0202994,0.0202994,0.0314386,0.0422429,0.1227,0.120418,0.125238,0.129474,-9999,-9999
200803,14.397,0.895161,364.953,269.617,0.527554,262.256,0.0,13.717,0.895161,87.395,0.670699,0.295,0.789651,2.71,0.670699,0.286435527482,0.644489247312,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,379.905,0.81922,14.053,0.889785,6.335,0.889785,7.32556,0.894489,27.3386,0.811828,29.8919,0.129055,46.0345,0.81922,50.334,0.515565,-0.27785,0.78293,0.0117293,-0.294561,-0.290458,-0.27519,0.78629,0.784946,0.77957,0.601919,0.585807,0.598246,0.602118,0.889587,0.876267,0.88514,0.889587,0.0231981,0.0231981,0.034988,0.0458959,0.1568,0.154131,0.159761,0.164688,-9999,-9999
200804,17.984,0.822917,427.562,326.155,0.683333,266.783,0.597222,18.512,0.822917,87.168,0.214583,0.008,0.690972,2.975,0.214583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,377.775,0.629861,21.364,1.0,3.872,1.0,10.8713,0.822222,17.6773,0.628472,17.197,0.143108,76.7136,0.631944,74.6291,0.630698,0.147362,0.6,0.0117271,0.138391,0.14138,0.147327,0.605556,0.605556,0.6,0.64809,0.637644,0.64168,0.643574,0.503866,0.489968,0.499218,0.500763,0.244148,0.245429,0.274448,0.30135,0.270631,0.262917,0.276626,0.289426,-9999,-9999
200805,20.449,0.989919,466.684,341.165,0.990591,298.143,0.989919,20.302,0.989919,87.13,0.889785,0.418,0.981855,2.789,0.981855,0.349827083333,0.967741935484,113.526904861,0.967741935484,634.371364583,0.967741935484,-9999,-9999,80.2176207729,0.965053763441,445.216297917,0.967741935484,374.892,0.918011,25.524,1.0,4.108,1.0,8.88154,0.989247,24.0397,0.96707,23.3865,0.330376,83.365,0.981183,81.0998,0.607026,0.3041,0.933468,0.0125276,0.288884,0.294251,0.306788,0.93414,0.934812,0.91129,0.729953,0.698935,0.708404,0.734946,0.403408,0.409163,0.41195,0.431051,0.584544,0.513275,0.552159,0.572659,0.355611,0.387942,0.430066,0.437332,-9999,-9999
200806,27.832,1.0,480.963,337.079,1.0,344.476,1.0,31.341,1.0,87.361,1.0,1.973,1.0,2.512,0.999306,0.293312529551,0.999305555556,112.071359722,1.0,632.583769444,1.0,-9999,-9999,80.0253086252,0.992361111111,489.167793056,1.0,383.441,0.999306,31.799,1.0,4.22,1.0,12.4942,1.0,25.8393,0.999306,25.651,0.434532,74.1345,1.0,73.5943,0.578257,0.862181,0.995833,0.021178,0.85333,0.858626,0.863765,0.997222,0.972222,0.994444,1.18279,1.13082,1.13573,1.15714,0.277898,0.272219,0.282328,0.299053,1.21999,1.21962,1.30907,1.47543,0.469114,0.413401,0.466166,0.556964,-9999,-9999
200807,24.891,1.0,471.926,262.117,1.0,384.113,1.0,14.102,1.0,87.458,0.990591,5.195,1.0,1.765,0.984543,0.235672569937,0.984543010753,150.504527554,1.0,508.536179961,0.998655913978,-9999,-9999,46.3544648538,0.990591397849,449.491266129,1.0,392.253,0.998656,26.095,1.0,11.152,1.0,5.99322,1.0,101.499,0.997312,122.535,0.714929,17.8558,1.0,21.5565,0.475004,-0.915954,0.987231,0.0563986,-0.988068,-0.954168,-0.920371,0.994624,0.990591,0.987231,4.76132,4.69616,4.71459,4.76637,5.75093,5.62501,5.67552,5.73215,4.5656,4.59844,4.63625,4.67766,5.77526,5.7964,5.83775,5.86792,-9999,-9999
200808,24.391,1.0,439.277,249.719,1.0,380.811,1.0,13.076,1.0,87.376,0.903898,3.743,0.99328,1.593,0.903898,0.226217490842,0.888440860215,145.697877051,0.993279569892,479.790463993,0.993279569892,-9999,-9999,42.1403910304,0.987231182796,442.859718732,0.993279569892,389.232,0.997312,25.482,1.0,8.759,1.0,1.66311,1.0,87.5896,0.995968,113.939,0.605326,22.6067,0.997312,29.4075,0.446156,-1.99012,0.96707,0.0509354,-1.99012,-1.98005,-1.963,0.96707,0.957661,0.981855,3.59521,3.46268,3.56069,3.61396,5.58523,5.45246,5.54239,5.57977,4.57692,4.51384,4.80485,4.94323,6.14308,6.03334,6.18606,6.22252,-9999,-9999
200809,23.916,1.0,384.739,255.601,1.0,346.809,1.0,17.558,1.0,87.437,1.0,1.008,1.0,2.482,0.998611,0.336705948068,0.998611111111,115.181325694,1.0,482.288602778,1.0,-9999,-9999,48.2932598257,0.999305555556,438.263288889,1.0,381.172,1.0,23.627,1.0,7.603,1.0,3.05815,1.0,69.1448,0.999306,86.3509,0.582431,20.5723,0.998611,25.6915,0.49589,-1.05567,0.997222,0.0280832,-1.07528,-1.06363,-1.05531,0.997917,0.997917,0.997222,2.40545,2.33324,2.35339,2.37937,3.41435,3.40629,3.41435,3.42111,2.13602,2.08094,2.11173,2.13806,3.29802,3.27847,3.28258,3.29376,-9999,-9999
200810,20.72,1.0,315.46,223.218,1.0,304.705,1.0,18.797,1.0,87.587,1.0,0.107,1.0,2.737,1.0,0.333653897849,1.0,56.0559126344,1.0,411.536550403,1.0,-9999,-9999,53.7536462623,0.997983870968,417.171091398,1.0,379.842,1.0,19.955,1.0,4.12,1.0,-0.203636,1.0,20.1598,1.0,22.8768,0.250917,29.418,1.0,33.3827,0.472758,0.188132,0.997312,0.0140096,0.177492,0.18434,0.188132,0.997984,0.997984,0.997312,0.811275,0.793837,0.799498,0.807255,0.615779,0.614362,0.615629,0.617353,0.83876,0.735841,0.762518,0.822568,0.630603,0.626152,0.637047,0.661947,-9999,-9999
200811,15.425,1.0,251.399,174.887,1.0,284.344,1.0,12.721,1.0,87.559,1.0,0.525,1.0,2.586,0.998611,0.319126509662,0.998611111111,26.4040631944,1.0,325.654113889,1.0,-9999,-9999,48.0318974861,0.994444444444,384.026,1.0,384.869,1.0,13.994,1.0,5.51,1.0,-5.19546,1.0,9.24594,1.0,10.4676,0.183229,18.6656,1.0,21.1319,0.433948,0.491704,0.998611,0.0174882,0.473655,0.47598,0.501883,0.998611,0.998611,0.998611,0.66377,0.652541,0.655599,0.681747,0.181943,0.17704,0.180366,0.182241,0.234407,0.178257,0.228579,0.249232,0.194149,0.160661,0.194757,0.196724,-9999,-9999
200812,10.889,1.0,219.973,139.048,1.0,271.602,1.0,8.471,1.0,87.445,1.0,0.254,0.999328,2.409,0.986559,0.316627091768,0.985887096774,17.4771890937,0.99126344086,261.760168683,1.0,-9999,-9999,38.0838245968,1.0,355.554959293,0.99126344086,388.268,1.0,7.185,1.0,11.765,1.0,-7.67092,1.0,14.8751,0.997312,17.2747,0.294541,5.7135,1.0,6.63518,0.543268,0.485167,0.993952,0.0137532,0.472548,0.477772,0.488924,0.995296,0.995296,0.993952,0.593324,0.571986,0.577671,0.598194,0.101495,0.0997757,0.101904,0.10986,0.329084,0.329084,0.334297,0.350885,0.0149033,0.0132529,0.0145806,0.0152408,-9999,-9999
200901,11.968,1.0,236.541,160.174,1.0,271.509,1.0,9.655,1.0,87.676,1.0,0.647,0.129704,2.539,0.993952,0.309289243606,0.993951612903,27.8419651328,0.990591397849,297.595910618,1.0,-9999,-9999,43.1897880727,0.998655913978,361.220339579,0.990591397849,382.88,1.0,7.035,1.0,14.751,1.0,-3.48633,1.0,15.6433,0.999328,19.3753,0.199342,8.66318,0.999328,10.7299,0.453275,0.412297,0.981183,0.00962252,0.3748,0.381468,0.398843,0.991935,0.991263,0.981183,0.379476,0.376535,0.380984,0.386746,-0.00135458,-0.019367,-0.0065036,0.00423217,0.267535,0.264773,0.342476,0.371066,0.0233725,0.025416,0.0616598,0.106982,-9999,-9999
200902,12.849,1.0,291.951,212.211,1.0,265.345,1.0,11.957,1.0,87.538,1.0,0.708,1.0,2.657,1.0,0.313859375,1.0,53.9829352679,1.0,396.065338542,1.0,-9999,-9999,53.7964360911,0.999255952381,368.780197917,1.0,373.883,1.0,8.891,1.0,13.349,1.0,1.68107,1.0,20.966,1.0,24.7014,0.222065,23.4267,1.0,27.6004,0.570862,0.33132,0.990327,0.0121757,0.275616,0.296729,0.409049,0.999256,0.997768,0.979167,0.607581,0.562487,0.579982,0.647068,0.288408,0.23808,0.283142,0.287996,0.248078,0.243016,0.251606,0.267515,0.156135,0.147694,0.153977,0.161712,-9999,-9999
