TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200201,4.297,0.0,212.168,87.645,0.0,260.138,0.0,3.564,0.0,98.57,0.0,5.762,0.0,3.98,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,76.478,0.0,-9999,-9999,11.6398,0.0,-9999,-9999,0.75835,0.0,-9999,0.0624152,0.92897,1.10274,0.0,0.0,0.0,4.34746,4.12244,4.34746,4.79696,3.74233,3.23836,3.83616,4.10561,4.07708,2.17264,3.90686,7.99818,2.76877,2.51774,3.01018,5.05254,-9999,-9999
200202,4.525,0.0,270.309,126.767,0.0,257.23,0.0,4.036,0.0,98.979,0.0,1.583,0.0,2.93,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,76.4632,0.0,-9999,-9999,11.7974,0.0,-9999,-9999,0.712338,0.0,-9999,0.0211736,0.887535,1.06293,0.0,0.0,0.0,4.38599,4.1686,4.39301,4.83845,3.82379,3.32669,3.91956,4.18574,4.09549,2.18245,3.9245,8.03429,3.61783,3.34934,3.73402,6.18036,-9999,-9999
200203,8.739,0.0,346.675,173.946,0.0,275.32,0.0,5.168,0.0,98.651,0.0,4.786,0.0,3.347,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,76.0803,0.0,-9999,-9999,11.6009,0.0,-9999,-9999,0.737533,0.0,-9999,0.0531447,0.894014,1.07727,0.0,0.0,0.0,5.08264,4.8796,5.22975,5.58719,4.55817,4.20679,4.69317,4.84257,4.41784,2.35423,4.23339,8.66666,4.52895,4.15938,4.64484,7.26095,-9999,-9999
200204,14.367,0.0,417.781,191.942,0.0,317.49,0.0,6.613,0.0,98.768,0.0,3.33,0.0,3.044,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,76.3364,0.0,-9999,-9999,11.6754,0.0,-9999,-9999,0.736865,0.0,-9999,0.0463913,0.904039,1.08158,0.0,0.0,0.0,5.99643,5.81724,6.40444,6.58009,5.51372,5.26958,5.65964,5.83436,4.81341,2.56503,4.61245,9.44267,4.89599,4.18515,4.89599,7.7058,-9999,-9999
200205,17.68,0.0,465.062,199.863,0.0,342.986,0.0,7.33,0.0,98.394,0.0,3.538,0.0,2.476,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,76.478,0.0,-9999,-9999,11.6398,0.0,-9999,-9999,0.75835,0.0,-9999,0.0624152,0.92897,1.10274,0.0,0.0,0.0,6.52355,6.45351,7.07075,7.28694,6.04396,6.00335,6.1539,6.3837,5.03002,2.68046,4.82002,9.86761,5.13236,4.24099,5.07758,8.10873,-9999,-9999
200206,21.163,0.0,483.922,208.554,0.0,365.634,0.0,8.53,0.0,98.118,0.0,3.425,0.0,2.132,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.690378,0.965972,76.3364,0.0,-9999,-9999,11.6754,0.0,-9999,-9999,0.736865,0.0,-9999,0.0463913,0.904039,1.08158,0.0,0.0,0.0,7.06015,7.0221,7.70613,8.03482,6.63066,6.57925,6.81104,6.99691,5.2388,2.79171,5.02008,10.2772,5.32202,4.33666,5.22439,8.2176,-9999,-9999
200207,25.974,0.0,474.045,207.094,0.0,410.844,0.0,8.688,0.0,98.163,0.0,5.601,0.0,2.44,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.175099,0.0,76.4509,0.0,-9999,-9999,11.7856,0.0,-9999,-9999,0.714711,0.0,-9999,0.023614,0.889132,1.06474,0.0,0.0,0.0,7.78012,7.78012,8.49668,8.93616,7.39706,7.48866,7.72227,7.89224,5.50851,2.93544,5.27853,10.8063,5.36522,4.34846,5.26489,8.20957,-9999,-9999
200208,25.492,0.0,436.013,209.397,0.0,398.25,0.0,9.205,0.0,98.303,0.0,2.925,0.0,2.532,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.150628,0.0,76.0803,0.0,-9999,-9999,11.6009,0.0,-9999,-9999,0.737533,0.0,-9999,0.0531447,0.894014,1.07727,0.0,0.0,0.0,7.70939,7.70939,8.41992,8.83486,7.31904,7.38176,7.63251,7.78668,5.48255,2.9216,5.25365,10.7553,5.4136,4.39551,5.31351,8.24223,-9999,-9999
200209,21.862,0.108333,374.348,148.521,0.109028,373.003,0.108333,7.476,0.108333,98.612,0.0,3.791,0.1,2.205,0.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.12592,0.108333,72.8403,0.0,-9999,-9999,8.86943,0.0,-9999,-9999,1.11904,0.0,-9999,0.372854,1.19587,1.37555,0.0,0.0,0.0,7.16636,7.13497,7.82,8.15997,6.46306,6.45393,6.63803,6.86086,5.27928,2.81328,5.05886,10.3566,4.1281,3.46969,4.1281,6.87812,-9999,-9999
200210,16.69,0.992608,298.51,143.906,0.992608,321.1,0.992608,6.346,0.992608,98.772,0.0,5.387,0.991263,3.183,0.985215,0.407774465678,0.532930107527,-9999,-9999,16.3781281874,0.99126344086,391.460357595,0.988575268817,370.389,0.722446,16.034,0.992608,4.909,0.992608,-4.58898,0.992608,68.1328,0.722446,-9999,1.13049,7.35325,0.722446,-9999,0.688264,0.210995,0.705645,0.123774,-0.415014,0.388606,0.45722,0.710349,0.690188,0.696237,5.06866,5.00135,5.9151,6.03274,5.475,5.35205,5.47407,5.55548,3.93055,3.20729,4.17955,7.42343,4.42129,3.57394,4.028,5.79557,-9999,-9999
200211,8.339,1.0,229.721,106.279,1.0,282.508,1.0,3.649,1.0,98.846,0.0,1.068,0.998611,3.224,0.997222,0.422311498484,0.997222222222,-9999,-9999,13.4192667874,0.998611111111,348.289140206,0.994444444444,363.422,1.0,9.164,1.0,4.174,1.0,-8.33152,1.0,41.1115,1.0,-9999,0.703485,8.93619,1.0,-9999,0.882706,0.589781,0.984722,0.0851025,0.192593,0.659898,0.913075,0.99375,0.979167,0.969444,3.33113,3.25441,3.77791,4.10651,3.1693,3.06181,3.13383,3.19615,1.70362,1.28078,1.44748,1.70362,2.19598,2.06353,2.21625,2.36787,-9999,-9999
200212,5.666,1.0,195.423,85.812,1.0,268.661,1.0,2.967,1.0,99.104,0.0,2.903,1.0,3.238,0.997312,0.408169269046,0.999327956989,-9999,-9999,10.3299791667,1.0,335.495352322,0.998655913978,363.532,1.0,6.802,1.0,4.767,1.0,-7.46583,1.0,29.2262,0.999328,-9999,0.653651,7.60911,1.0,-9999,0.822162,1.11101,0.995968,0.0779505,0.925393,1.14659,1.32987,0.998656,0.993952,0.990591,3.2443,3.2443,3.3563,3.64028,2.3676,2.14611,2.2247,2.31153,1.18927,1.18927,1.78971,2.51083,1.76268,1.19575,1.51147,1.76887,-9999,-9999
200301,2.526,1.0,212.168,101.003,1.0,246.072,1.0,2.64,1.0,98.737,0.0,3.274,1.0,3.67,1.0,0.466619520107,0.992607526882,-9999,-9999,12.4894079301,1.0,320.754244595,0.996639784946,364.934,1.0,4.147,1.0,5.13,1.0,-7.44231,1.0,25.3242,0.999328,-9999,0.573619,16.0835,0.999328,-9999,0.913253,1.14905,0.981183,0.0654013,1.11768,1.19216,1.29672,0.981855,0.979167,0.967742,2.14255,2.16106,2.28479,2.52899,1.11634,1.04024,1.09434,1.23137,2.05963,2.11586,2.18629,2.35344,0.900092,0.831539,0.892963,0.914511,-9999,-9999
